ticket,time,time_msc,time_update,time_update_msc,type,magic,identifier,reason,volume,price_open,sl,tp,price_current,swap,profit,symbol,comment,external_id
5214473994,2024-09-17 17:02:22,1726592542185,1726592542,1726592542185,1,0,5214473994,3,0.5,6633.854,6663.077,0.0,6634.503,0.0,-0.32,Volatility 10 Index,-0.3957740068435,
5214477553,2024-09-17 17:07:04,1726592824164,1726592824,1726592824164,0,0,5214477553,3,0.5,6634.335,6571.094,0.0,6636.387,0.0,1.03,Volatility 10 Index,0.03588639199733,
5214485231,2024-09-17 17:17:34,1726593454182,1726593454,1726593454182,0,0,5214485231,3,0.5,6635.904,6571.094,0.0,6638.705,0.0,1.4,Volatility 10 Index,2.11379432678222,
5214488555,2024-09-17 17:22:22,1726593742179,1726593742,1726593742179,0,0,5214488555,3,0.5,6638.788,6571.094,0.0,6646.081,0.0,3.65,Volatility 10 Index,4.09155988693237,
5214496734,2024-09-17 17:32:46,1726594366177,1726594366,1726594366177,0,0,5214496734,3,0.5,6646.059,6571.094,0.0,6640.779,-0.09,-2.64,Volatility 10 Index,11.0762710571289,
5214969708,2024-09-18 08:39:22,1726648762175,1726648762,1726648762175,0,0,5214969708,3,0.5,6641.113,6571.094,0.0,6636.677,0.0,-2.22,Volatility 10 Index,10.9430780410766,
5214978778,2024-09-18 08:54:34,1726649674168,1726649674,1726649674168,0,0,5214978778,3,0.5,6636.63,6585.45,0.0,6634.992,0.0,-0.82,Volatility 10 Index,3.8062903881073,
5214988676,2024-09-18 09:09:46,1726650586184,1726650586,1726650586184,0,0,5214988676,3,0.5,6635.352,6585.45,0.0,6642.548,0.0,3.6,Volatility 10 Index,2.08365154266357,
5215020517,2024-09-18 09:57:48,1726653468172,1726653468,1726653468172,0,0,5215020517,3,0.5,6642.759,6585.45,0.0,6646.353,0.0,1.8,Volatility 10 Index,9.54409980773925,
5215032572,2024-09-18 10:13:02,1726654382189,1726654382,1726654382189,0,0,5215032572,3,0.5,6646.444,6585.45,0.0,6646.432,0.0,-0.01,Volatility 10 Index,13.2357511520385,
5215043883,2024-09-18 10:28:16,1726655296183,1726655296,1726655296183,0,0,5215043883,3,0.5,6646.45,6585.45,0.0,6653.242,0.0,3.4,Volatility 10 Index,13.2585773468017,
5215055330,2024-09-18 10:43:34,1726656214177,1726656214,1726656214177,0,0,5215055330,3,0.5,6653.277,6585.45,0.0,6653.991,0.0,0.36,Volatility 10 Index,20.9839305877685,
5215066807,2024-09-18 10:58:48,1726657128186,1726657128,1726657128186,0,0,5215066807,3,0.5,6654.234,6585.45,0.0,6657.042,0.0,1.4,Volatility 10 Index,20.8366279602050,
5215078745,2024-09-18 11:14:02,1726658042196,1726658042,1726658042196,0,0,5215078745,3,0.5,6657.516,6585.45,0.0,6650.539,0.0,-3.49,Volatility 10 Index,24.0099086761474,
5215089144,2024-09-18 11:29:18,1726658958182,1726658958,1726658958182,0,0,5215089144,3,0.5,6650.55,6585.45,0.0,6651.265,0.0,0.36,Volatility 10 Index,18.0932502746582,
5215099282,2024-09-18 11:44:32,1726659872170,1726659872,1726659872170,0,0,5215099282,3,0.5,6651.399,6585.45,0.0,6654.601,0.0,1.6,Volatility 10 Index,17.9992790222167,
5215110650,2024-09-18 11:59:46,1726660786184,1726660786,1726660786184,0,0,5215110650,3,0.5,6654.246,6585.45,0.0,6654.214,0.0,-0.02,Volatility 10 Index,21.6123180389404,
5215122430,2024-09-18 12:15:00,1726661700170,1726661700,1726661700170,0,0,5215122430,3,0.5,6653.576,6588.662,0.0,6657.178,0.0,1.8,Volatility 10 Index,0.58410382270812,
5215134129,2024-09-18 12:30:14,1726662614169,1726662614,1726662614169,0,0,5215134129,3,0.5,6657.515,6588.662,0.0,6651.299,0.0,-3.11,Volatility 10 Index,3.55434799194335,
5215160634,2024-09-18 13:01:38,1726664498205,1726664498,1726664498205,1,0,5215160634,3,0.5,6651.829,6679.2,0.0,6654.268,0.0,-1.22,Volatility 10 Index,-2.7223246097564,
5215173590,2024-09-18 13:17:44,1726665464169,1726665464,1726665464169,1,0,5215173590,3,0.5,6654.029,6679.2,0.0,6653.457,0.0,0.29,Volatility 10 Index,-1.6628681421279,
5215186592,2024-09-18 13:32:58,1726666378195,1726666378,1726666378195,1,0,5215186592,3,0.5,6653.517,6679.2,0.0,6658.19,0.0,-2.34,Volatility 10 Index,-0.1241694837808,
5215197723,2024-09-18 13:48:12,1726667292189,1726667292,1726667292189,0,0,5215197723,3,0.5,6658.187,6588.662,0.0,6669.39,0.0,5.6,Volatility 10 Index,3.93790054321289,
5215262929,2024-09-18 15:08:00,1726672080177,1726672080,1726672080177,0,0,5215262929,3,0.5,6669.736,6588.662,0.0,6670.072,0.0,0.17,Volatility 10 Index,15.1744089126586,
5215276120,2024-09-18 15:23:22,1726673002182,1726673002,1726673002182,0,0,5215276120,3,0.5,6670.893,6588.662,0.0,6674.692,0.0,1.9,Volatility 10 Index,16.6813850402832,
5215288145,2024-09-18 15:38:40,1726673920172,1726673920,1726673920172,0,0,5215288145,3,0.5,6674.831,6588.662,0.0,6676.344,0.0,0.76,Volatility 10 Index,20.4834499359130,
5215300263,2024-09-18 15:53:56,1726674836184,1726674836,1726674836184,0,0,5215300263,3,0.5,6676.328,6588.662,0.0,6678.594,0.0,1.13,Volatility 10 Index,22.1053924560546,
5215308076,2024-09-18 16:04:56,1726675496183,1726675496,1726675496183,0,0,5215308076,3,0.5,6679.167,6595.212,0.0,6679.033,0.0,-0.07,Volatility 10 Index,2.02416300773620,
5215310737,2024-09-18 16:09:12,1726675752178,1726675752,1726675752178,0,0,5215310737,3,0.5,6679.637,6595.212,0.0,6684.1,0.0,2.23,Volatility 10 Index,3.60587787628173,
5215319198,2024-09-18 16:20:12,1726676412168,1726676412,1726676412168,0,0,5215319198,3,0.5,6683.865,6595.212,0.0,6686.024,0.0,1.08,Volatility 10 Index,7.71894454956054,
5215322306,2024-09-18 16:24:28,1726676668196,1726676668,1726676668196,0,0,5215322306,3,0.5,6685.801,6595.212,0.0,6687.727,0.0,0.96,Volatility 10 Index,10.2016477584838,
5215330539,2024-09-18 16:35:26,1726677326178,1726677326,1726677326178,0,0,5215330539,3,0.5,6688.041,6595.212,0.0,6689.666,0.0,0.81,Volatility 10 Index,10.9236192703247,
5215333694,2024-09-18 16:39:56,1726677596185,1726677596,1726677596185,0,0,5215333694,3,0.5,6690.792,6595.212,0.0,6689.986,0.0,-0.4,Volatility 10 Index,14.1488885879516,
5215342240,2024-09-18 16:50:40,1726678240179,1726678240,1726678240179,0,0,5215342240,3,0.5,6690.239,6595.212,0.0,6691.15,0.0,0.46,Volatility 10 Index,13.4519453048706,
5215345319,2024-09-18 16:55:18,1726678518174,1726678518,1726678518174,0,0,5215345319,3,0.5,6690.909,6595.212,0.0,6692.637,0.0,0.86,Volatility 10 Index,15.7503700256347,
5215353456,2024-09-18 17:06:02,1726679162186,1726679162,1726679162186,0,0,5215353456,3,0.5,6693.079,6595.212,0.0,6689.849,0.0,-1.62,Volatility 10 Index,15.7033586502075,
5215357007,2024-09-18 17:10:34,1726679434185,1726679434,1726679434185,0,0,5215357007,3,0.5,6690.167,6595.212,0.0,6688.587,0.0,-0.79,Volatility 10 Index,13.7786512374877,
5215365870,2024-09-18 17:21:16,1726680076174,1726680076,1726680076174,0,0,5215365870,3,0.5,6689.193,6595.212,0.0,6691.594,0.0,1.2,Volatility 10 Index,12.0470380783081,
5215369341,2024-09-18 17:25:48,1726680348192,1726680348,1726680348192,0,0,5215369341,3,0.5,6691.466,6595.212,0.0,6692.439,0.0,0.49,Volatility 10 Index,15.6685152053833,
5215377460,2024-09-18 17:36:30,1726680990192,1726680990,1726680990192,0,0,5215377460,3,0.5,6693.006,6595.212,0.0,6693.062,0.0,0.03,Volatility 10 Index,15.8279600143432,
5215381333,2024-09-18 17:41:10,1726681270184,1726681270,1726681270184,0,0,5215381333,3,0.5,6693.267,6595.212,0.0,6689.249,0.0,-2.01,Volatility 10 Index,17.7833232879638,
5215391272,2024-09-18 17:51:48,1726681908186,1726681908,1726681908186,0,0,5215391272,3,0.5,6689.25,6595.212,0.0,6685.885,0.0,-1.6800000000000002,Volatility 10 Index,12.3977165222167,
